"filename", "language", "TypeScript", "JSON", "JSON with Comments", "vue", "Less", "CSS", "JavaScript", "TypeScript JSX", "Markdown", "XML", "HTML", "Ignore", "Properties", "comment", "blank", "total"
"d:\Work\SDbased-VectorPoster-Generator\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\Work\SDbased-VectorPoster-Generator\.eslintrc-auto-import.json", "JSON", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"d:\Work\SDbased-VectorPoster-Generator\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"d:\Work\SDbased-VectorPoster-Generator\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 5, 25
"d:\Work\SDbased-VectorPoster-Generator\.prettierrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Work\SDbased-VectorPoster-Generator\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 36, 129
"d:\Work\SDbased-VectorPoster-Generator\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"d:\Work\SDbased-VectorPoster-Generator\commitlint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Work\SDbased-VectorPoster-Generator\dist\assets\edgecontrol-dbe38ac6.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\Work\SDbased-VectorPoster-Generator\dist\assets\index-6be5f9d3.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Work\SDbased-VectorPoster-Generator\dist\assets\index-f91a356e.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Work\SDbased-VectorPoster-Generator\dist\assets\ionicons-3cccccf5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 870, 0, 0, 0, 0, 0, 870
"d:\Work\SDbased-VectorPoster-Generator\dist\assets\middlecontrol-a163c615.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\Work\SDbased-VectorPoster-Generator\dist\assets\middlecontrolhoz-9b7cc4b3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\Work\SDbased-VectorPoster-Generator\dist\assets\rotateicon-ec6729f2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"d:\Work\SDbased-VectorPoster-Generator\dist\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\Work\SDbased-VectorPoster-Generator\dist\js\index-3f84cf4d.ac049e8a.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Work\SDbased-VectorPoster-Generator\dist\js\index-b1398dc9.f363addc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
